Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
POWERGRID,POWER GRID CORP. LTD.,288.7,INR,0.1734906315058987,8464495,0.792107332876321,2682759197615,INR,17.46109508343464,16.5339,INR,-2.0532567163295057,3.64014560582423,Utilities,Buy
ADANIENT,ADANI ENTERPRISES LTD,2281.6,INR,0.06578658830753037,998109,0.7930094712173841,2632570842377,INR,41.14289835994626,55.4555,INR,57.20907158043941,0.0569950458152484,Distribution services,Strong buy
JSWSTEEL,JSW STEEL LTD,1045.5,INR,-0.7782101167315217,870899,0.4884602329311321,2576774867409,INR,52.79823046389722,19.8018,INR,-33.927927927927925,0.265730283761982,Non-energy minerals,Neutral
WIPRO,WIPRO LTD,246.81,INR,2.135319677219117,12857225,1.9139167266829868,2530822096820,INR,19.226005468439624,12.8373,INR,20.286161371025933,4.55203807159114,Technology services,Neutral
TATAMOTORS,TATA MOTORS LTD,664.6,INR,0.1280602636534874,6250494,0.5569414331392348,2443182802204,INR,11.549804404079797,57.5421,INR,-34.2571350227361,0.904159132007233,Consumer durables,Neutral
ASIANPAINT,ASIAN PAINTS LTD,2528.7,INR,1.1399088072954164,1088550,0.9298978893440734,2398282190928,INR,67.41114748504462,37.5116,INR,-29.172614327253505,0.991880974283086,Process industries,Neutral
COALINDIA,COAL INDIA LTD,384.45,INR,-0.42735042735043616,4034887,0.5372519998284474,2379429517497,INR,7.14880750936253,53.7782,INR,-6.6700681688811185,6.82465682465683,Energy minerals,Buy
INDIGO,INTERGLOBE AVIATION LTD,6002.5,INR,0.5528101181003434,767646,0.8952885406435008,2307364751815,INR,34.64446496594714,173.26,INR,-14.257435542138863,0,Transportation,Buy
BAJAJ_AUTO,BAJAJ AUTO LTD,8213.5,INR,-0.4243195732557435,364270,1.202508871832962,2304056817259,INR,30.226139437319446,271.735,INR,-4.31050814893381,2.5452540102901,Consumer durables,Neutral
ADANIPOWER,ADANI POWER LTD,584.05,INR,-0.26468579234973844,961767,0.30656984702729884,2259201998657,INR,18.150599788675493,32.178,INR,-22.345513955991446,0,Utilities,Strong buy
NESTLEIND,NESTLE INDIA LTD,1089.4,INR,-0.6837450998267846,941698,0.8800516985912321,2115939409622,INR,67.5999354654554,16.1154,INR,-4.2198105245640365,1.23029253622528,Consumer non-durables,Neutral
JIOFIN,JIO FIN SERVICES LTD,327.4,INR,-0.9679370840895478,8079069,0.4589791472879967,2099713299316.0002,INR,128.03065853277022,2.5572,INR,2.484770759858922,0,Finance,Neutral
IOC,INDIAN OIL CORP LTD,140.13,INR,-1.6148283367268212,11453732,1.2089393903043222,2010864245061,INR,14.192104356985153,9.8738,INR,-67.03150668465268,8.42696629213483,Energy minerals,Buy
TATASTEEL,TATA STEEL LTD,155.3,INR,-3.0465726058184512,47256126,2.4152375199299256,1999223377811,INR,42.675386771454484,3.6391,INR,,2.24789260068686,Non-energy minerals,Buy
TRENT,TRENT LTD,5370.5,INR,-0.5186625914605909,697401,0.5493531757672422,1919134621562,INR,120.5391210665709,44.554,INR,-7.154601321599665,0.0926166043048198,Retail trade,Buy
DLF,DLF LTD,751.55,INR,-0.8051210981323861,1437774,0.5091370109710421,1874058293962,INR,41.48176358899634,18.1176,INR,57.593681500295745,0.792497688548408,Finance,Strong buy
GRASIM,GRASIM INDUSTRIES LTD,2764.9,INR,0.691940711606395,618912,0.9262451387664613,1868908297611,INR,44.46942757011225,62.1753,INR,-21.312128947504974,0.364159428998015,Non-energy minerals,Buy
SBILIFE,SBI LIFE INSURANCE CO LTD,1840.6,INR,0.016301689941854835,468063,0.5694558012740223,1843825250122,INR,74.18842554151988,24.8098,INR,22.375514834636352,0.146779016036967,Finance,Strong buy
HYUNDAI,HYUNDAI MOTOR INDIA LTD,2240.7,INR,-0.26705835224996666,394089,0.7694251095743873,1824764259979,INR,32.98430937860193,67.9323,INR,-11.264796319566548,0,Consumer durables,Strong buy
HINDZINC,HINDUSTAN ZINC LTD,426.65,INR,-0.8251975825197609,1367682,0.852111241325042,1816253332454,INR,17.60136305879635,24.2396,INR,25.823263153523513,6.74653949051995,Non-energy minerals,Neutral
VBL,VARUN BEVERAGES LTD,501.85,INR,-1.8098219526511445,5002148,1.1326584078491222,1727821370667,INR,59.04117647058824,8.5,INR,14.089365528904871,0.293599530240752,Consumer non-durables,Strong buy
VEDL,VEDANTA LTD,430.2,INR,-1.9487179487179511,5618967,1.17250818376499,1714900583113,INR,11.583198707592892,37.14,INR,167.61395570030697,9.00695473720214,Non-energy minerals,Buy
HDFCLIFE,HDFC LIFE INS CO LTD,788.75,INR,1.5645119752768448,2861621,1.514681761430269,1673597245269,INR,90.38042855505901,8.727,INR,14.757978618485938,0.270461716787945,Finance,Buy
IRFC,INDIAN RAILWAY FIN CORP L,124.5,INR,-0.9152407481098335,4332376,0.4911236147324524,1642057781171,INR,24.390243902439025,5.1045,INR,3.4514206963641545,1.83048149621966,Finance,Strong sell
DIVISLAB,DIVI S LABORATORIES LTD,6132.5,INR,0.5245471682648963,407062,0.7421517554867564,1620260825259,INR,70.5978106332448,86.8653,INR,37.75395150202273,0.491529311531278,Health technology,Neutral
